what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753253598
started,bundle,org.eclipse.cdt.core,5.0.2.200901300802,org.eclipse.cdt.core,1606753258719
started,bundle,org.eclipse.cdt.debug.core,5.0.2.200901300802,org.eclipse.cdt.debug.core,1606753258804
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200901300802,org.eclipse.cdt.debug.ui,1606753258809
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1606753258815
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606753260722
closed,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606753262675
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1606753264981
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606753264991
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.TaskList,1606753268709
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1606753268719
executed,command,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors.lineNumberToggle,1606753303563
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753305577
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753310888
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753313225
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753331860
executed,command,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors.lineNumberToggle,1606753333677
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753336664
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753356451
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753364536
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753368742
started,bundle,org.eclipse.dltk.ruby.core,0.95.1.v20080920-R0951,org.eclipse.dltk.ruby.core,1606753388727
started,bundle,net.sf.eclipsefp.haskell.hugs,0.10.0,net.sf.eclipsefp.haskell.hugs,1606753388734
started,bundle,org.eclipse.cdt.launch,5.0.2.200901300802,org.eclipse.cdt.launch,1606753388736
started,bundle,net.sf.pascaline.cdtinterface,0.5.7.200902201919,net.sf.pascaline.cdtinterface,1606753388738
