what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.presence.collab.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.collab.ui,1606753429396
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1606753429401
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753430569
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753430573
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1606753548802
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753586658
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753588085
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1606753598706
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.window.activateEditor,1606753600216
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1606753600651
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753621362
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753622846
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753624463
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753651947
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1606753653626
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753658543
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753679635
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1606753681031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753721578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753726415
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753881940
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753886417
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753887301
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753888062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1606753888615
